Record Length,100000,Points,0.00E+00,0.474825301,,Record Length,10000,Points,0.00E+00,2.18E+00
Sample Interval,1.00E-06,s,1.00E-06,0.483087401,,Sample Interval,1.00E-06,s,1.00E-06,2.43E+00
Trigger Point,5.00E+04,Samples,2.00E-06,0.576242663,,Trigger Point,5.00E+04,Samples,2.00E-06,2.33E+00
,,,3.00E-06,0.514836476,,,,,3.00E-06,2.40E+00
,,,4.00E-06,0.733159454,,,,,4.00E-06,2.53E+00
,,,5.00E-06,0.782718193,,,,,5.00E-06,2.59E+00
Source,CH1,,6.00E-06,0.645355446,,Source,CH2,,6.00E-06,2.49E+00
Vertical Units,A,,7.00E-06,0.905911736,,Vertical Units,V,,7.00E-06,2.76E+00
Vertical Scale,2.0000001,,8.00E-06,0.802531137,,Vertical Scale,1.00E-01,,8.00E-06,2.73E+00
Vertical Offset,0,,9.00E-06,0.724643282,,Vertical Offset,0,,9.00E-06,2.78E+00
Horizontal Units,s,,1.00E-05,1.005276088,,Horizontal Units,s,,1.00E-05,2.82E+00
Horizontal Scale,1.00E-02,,1.10E-05,0.826640114,,Horizontal Scale,1.00E-02,,1.10E-05,2.92E+00
Pt Fmt,Y,,1.20E-05,0.773837968,,Pt Fmt,Y,,1.20E-05,2.60E+00
Yzero,1.00E-01,,1.30E-05,1.154857575,,Yzero,1.20E-01,,1.30E-05,2.80E+00
Probe Atten,10,,1.40E-05,1.15905196,,Probe Atten,1,,1.40E-05,2.77E+00
,,,1.50E-05,1.026141387,,,,,1.50E-05,2.95E+00
Note,DPO4104 - 16:00:16   2025/09/03,,1.60E-05,1.025834197,,Note,DPO4104 - 16:00:16   2025/09/03,,1.60E-05,2.98E+00
,,,1.70E-05,1.15468188,,,,,1.70E-05,3.11E+00
,,,1.80E-05,0.938429069,,,,,1.80E-05,2.95E+00
,,,1.90E-05,1.2889174,,,,,1.90E-05,3.05E+00
,,,2.00E-05,1.113410254,,,,,2.00E-05,3.01E+00
,,,2.10E-05,1.334566297,,,,,2.10E-05,3.14E+00
,,,2.20E-05,1.318094663,,,,,2.20E-05,3.17E+00
,,,2.30E-05,1.152966454,,,,,2.30E-05,3.00E+00
,,,2.40E-05,1.505362501,,,,,2.40E-05,3.23E+00
,,,2.50E-05,1.532389186,,,,,2.50E-05,3.06E+00
,,,2.60E-05,1.582346136,,,,,2.60E-05,3.23E+00
